800 3 400 12 1699
80 345 375
3085 4277 2347 3539
7793 8062 7208 7477
0 609 1187 1831
3443 3943 7449 7949
7605 8217 55 667
2069 3523 5310 6764
5253 6201 0 542
1429 1669 8906 9146
3048 4477 680 2109
9441 9853 2109 2521
3400 3910 3162 3672
9535 9985 4349 4799
7027 8046 5669 6688
3674 4348 807 1481
8351 8746 4434 4829
1574 2785 6197 7408
6585 7728 110 1253
8445 8667 377 599
618 1704 8512 9598
6129 6972 5394 6237
2973 4503 1694 3224
6419 6922 7118 7621
4235 5796 81 1642
275 1933 6932 8590
8302 9835 6773 8306
7574 7775 9598 9799
709 1608 5340 6239
7310 8384 5283 6357
1481 2017 8220 8756
7589 9154 8657 10000
106 1528 0 569
2227 3596 2692 4061
7108 7221 626 739
0 51 5166 5555
649 1592 2715 3658
375 913 7078 7616
8000 8531 1392 1923
2137 2245 8472 8580
3615 4257 4922 5564
8240 9267 8010 9037
3863 5181 8233 9551
9577 10000 3082 3661
0 556 904 2223
4349 4391 1906 1948
0 220 0 1042
969 2042 1707 2780
8573 8718 881 1026
3556 3804 7483 7731
2079 2381 383 685
4396 5690 250 1544
6503 7706 9187 10000
3095 3995 2748 3648
784 992 7241 7449
8814 9977 8177 9340
4741 5763 3776 4798
2041 3600 3285 4844
5072 5908 1109 1945
5603 6966 0 595
3407 4261 8527 9381
583 1125 4361 4903
2669 3853 7068 8252
5158 6712 3142 4696
5914 6279 7169 7534
6877 7009 5945 6077
4154 5625 5335 6806
6985 7048 5850 5913
5836 7397 0 1254
402 1290 5035 5923
3269 4575 6161 7467
6388 7280 4317 5209
9512 9715 2145 2348
2024 2069 4155 4200
6713 8136 0 1117
4570 5800 3340 4570
3371 4599 3988 5216
9791 10000 6250 6890
1536 2767 6152 7383
0 222 1776 2226
5660 6696 3889 4925
1319 2964 6344 7989
2993 4320 2704 4031
7287 8843 0 1507
7069 7705 2454 3090
8191 9334 4531 5674
9068 9926 3368 4226
2862 4443 5654 7235
2221 3846 5483 7108
2543 3731 1625 2813
3009 3117 8926 9034
9489 9686 4743 4940
725 1951 6273 7499
2416 3851 8387 9822
6219 7704 6650 8135
151 400 7895 8144
9600 10000 97 1670
5561 5762 422 623
2335 3907 1494 3066
7222 8717 0 1457
9304 10000 86 1730
2330 3249 5092 6011
1261 1361 4426 4526
3417 4532 5173 6288
7541 8669 2353 3481
4832 4847 602 617
9108 9712 508 1112
0 159 1762 2284
4306 5655 3809 5158
3094 4462 6375 7743
5854 6666 6532 7344
8929 9627 5768 6466
5540 7029 8057 9546
440 846 2937 3343
603 913 9498 9808
0 342 189 772
967 1154 8001 8188
7020 8472 3947 5399
847 1623 7117 7893
6516 7907 4530 5921
6954 7877 8913 9836
6911 8181 1958 3228
2855 3373 8602 9120
4152 5836 7456 9140
2960 3792 5904 6736
7389 8562 6021 7194
7649 8890 7517 8758
0 624 381 2059
4307 5486 4956 6135
4566 5110 6869 7413
5199 6104 2090 2995
4830 5939 1252 2361
4284 5725 905 2346
2155 2261 2143 2249
7439 8229 1401 2191
1764 3134 7123 8493
0 1064 8291 9445
2763 4458 3373 5068
9680 10000 3924 4379
448 2002 0 870
2638 3621 5129 6112
471 1758 4367 5654
6582 8184 4211 5813
6691 8054 5052 6415
369 1547 1967 3145
9612 9979 4611 4978
2529 2632 1718 1821
2015 2319 1944 2248
7039 8170 7335 8466
3936 5012 6950 8026
3963 4856 4144 5037
5497 6054 4476 5033
0 524 6933 7665
6393 6924 8504 9035
1755 3274 6983 8502
3084 3631 7544 8091
5750 6934 3182 4366
0 1213 7240 8660
1646 2705 1323 2382
2285 3529 2870 4114
0 1299 1891 3443
0 681 2220 3140
8490 9606 5497 6613
4825 6134 7145 8454
4646 5532 6179 7065
2791 3518 0 475
6681 7227 8609 9155
6628 6632 9209 9213
3272 4571 1215 2514
8287 9832 2518 4063
7672 8431 1434 2193
0 1512 1411 2962
5995 7506 1812 3323
957 1809 8151 9003
3542 3908 6241 6607
2028 3252 813 2037
2912 4589 5519 7196
8777 9735 24 982
6366 6427 925 986
1055 1173 7383 7501
6220 7194 9477 10000
3840 4859 3244 4263
218 1788 9251 10000
9350 9903 7833 8386
9371 9887 8602 9118
8317 9040 1038 1761
1591 1895 4123 4427
4008 4039 4724 4755
3096 4043 6852 7799
4267 5595 3240 4568
0 883 4433 5550
7121 8446 2758 4083
4891 4976 7783 7868
6108 6656 3760 4308
7106 8393 0 446
7460 9028 3289 4857
1224 2173 2200 3149
5329 5564 1750 1985
4671 6127 7615 9071
0 661 5159 5839
8614 10000 3615 5268
3625 3935 2422 2732
6979 7914 1132 2067
5651 6235 6346 6930
4586 5597 8942 9953
750 768 9559 9577
6791 7978 2967 4154
6064 6107 6769 6812
0 280 9481 9970
4962 5318 3049 3405
2275 2869 9540 10000
538 1060 6748 7270
3580 5128 835 2383
1348 1408 1516 1576
2345 2743 4048 4446
6860 7269 1679 2088
8173 8235 1919 1981
3965 5297 8596 9928
9798 9875 3860 3937
6537 7746 8041 9250
5157 6267 6887 7997
8555 10000 0 1055
8591 9112 9549 10000
6329 7576 2119 3366
3992 5588 6987 8583
1359 1715 4299 4655
9622 10000 405 1051
7674 8964 1227 2517
7541 7846 883 1188
8174 8559 4300 4685
7389 8871 6554 8036
1081 1507 1966 2392
4895 5312 8311 8728
3600 4975 5450 6825
9121 9691 9174 9744
3557 4723 2301 3467
6433 8043 2208 3818
5183 5680 5889 6386
2230 3418 4766 5954
9054 9676 450 1072
1102 1748 4452 5098
3905 4098 5716 5909
0 177 5920 6544
3981 5543 2363 3925
6297 7456 7622 8781
9727 9932 4690 4895
3990 5009 1132 2151
4311 5382 8864 9935
9654 9848 8480 8674
7416 7569 4299 4452
251 274 4098 4121
7734 8761 5510 6537
6204 7856 0 1363
5467 5945 4564 5042
3829 4182 290 643
2902 4561 6920 8579
5284 6254 8747 9717
981 2057 1830 2906
5315 5549 3195 3429
2500 3930 8556 9986
0 193 5749 6829
7396 8036 3716 4356
5562 6598 7301 8337
2868 3022 8163 8317
927 1813 4617 5503
7038 7276 6234 6472
5361 6726 6310 7675
1487 2990 3656 5159
3847 5147 5612 6912
1338 1592 8769 9023
4450 4547 5501 5598
1992 3054 5225 6287
6074 6716 5295 5937
5832 6636 2559 3363
4298 5329 2161 3192
5494 6333 0 391
4562 5152 1993 2583
477 2068 1248 2839
1235 1460 4297 4522
8744 9928 3723 4907
84 1761 7965 9642
5648 6951 7957 9260
5226 6203 3309 4286
2982 3630 2065 2713
6450 6790 2172 2512
5854 6663 5488 6297
5533 5652 1722 1841
2306 2711 7777 8182
7393 7582 44 233
5386 6035 4076 4725
1493 3025 6893 8425
5586 7036 1898 3348
8781 9564 6431 7214
8754 8945 1238 1429
5744 6189 6863 7308
7668 9034 3438 4804
9131 10000 8728 10000
1162 2295 3247 4380
8671 8690 7194 7213
724 2207 884 2367
226 729 2994 3497
2896 3801 2163 3068
3895 4378 9356 9839
8325 9928 5912 7515
4078 5682 8848 10000
0 928 1188 2702
2991 3709 2999 3717
4401 4572 6972 7143
1550 1577 4329 4356
1185 2562 4813 6190
7174 7322 6380 6528
7766 8679 5187 6100
3135 4169 861 1895
9295 10000 5738 6902
6857 7671 4006 4820
4770 6228 5024 6482
2866 4460 4387 5981
1016 2135 7423 8542
4590 5189 6085 6684
5450 6097 8657 9304
1010 2427 7366 8783
8197 9267 3312 4382
1687 2386 3304 4003
9006 9570 6482 7046
2073 2827 1178 1932
5470 6528 6878 7936
1713 2300 5034 5621
2620 3004 7182 7566
3004 3991 6353 7340
6138 6502 6482 6846
0 1259 2890 4346
0 451 8783 9597
1272 1317 6015 6060
4852 6017 1966 3131
3118 3403 4246 4531
396 1036 7531 8171
8292 9443 5585 6736
1827 2040 868 1081
2286 3018 9172 9904
9519 10000 1355 2580
2721 2998 6371 6648
3653 4300 4228 4875
4397 5565 159 1327
1966 2550 1341 1925
2672 2936 7059 7323
1729 2257 4444 4972
9544 10000 285 1973
2730 2833 9545 9648
0 543 8613 9282
5733 7262 2278 3807
7706 7867 1276 1437
2444 3784 3577 4917
6605 7552 5759 6706
8883 10000 4511 6182
902 1639 4336 5073
250 1574 877 2201
96 872 929 1705
3358 3682 0 197
1473 2432 1449 2408
7631 8398 5248 6015
4128 4583 3028 3483
2566 4149 0 235
468 1103 9085 9720
7106 8250 2511 3655
8400 8749 2174 2523
7114 8722 25 1633
2298 2671 5413 5786
0 402 6519 7156
1658 1959 2935 3236
3451 4628 1029 2206
7257 8157 4355 5255
2696 3452 8536 9292
4098 4274 1788 1964
2031 2385 4492 4846
5486 5631 5057 5202
280 440 2090 2250
7981 9295 8058 9372
3099 4770 6994 8665
3355 4073 5549 6267
9027 9531 9243 9747
0 1024 9055 10000
5570 6259 4791 5480
2939 4099 7033 8193
2992 3332 6907 7247
6980 7369 6150 6539
500 1948 9595 10000
8643 10000 5071 6513
9394 9425 634 665
7479 8192 9567 10000
3856 5202 0 927
4261 5183 4311 5233
1583 1901 9575 9893
7590 8986 2443 3839
7842 8582 6305 7045
2809 3033 1145 1369
4887 5510 1784 2407
4010 4638 7369 7997
3030 3854 6871 7695
6329 7745 9428 10000
3367 4027 5283 5943
0 625 5905 6582
4890 6533 4364 6007
7749 8702 7217 8170
4916 5715 1524 2323
6434 7977 8224 9767
3960 4620 7026 7686
517 2119 0 941
7740 9085 0 876
736 1585 2068 2917
8212 9711 778 2277
5915 7080 8296 9461
733 1141 6934 7342
103 503 642 1042
7289 7516 0 169
3101 3269 8850 9018
7261 8903 0 1163
0 206 7234 7879
3028 3988 7481 8441
6636 7598 1648 2610
4111 5015 4826 5730
2836 2947 1045 1156
7977 8112 3437 3572
6049 6856 6050 6857
7926 8366 9281 9721
4918 5418 1870 2370
4161 4586 6949 7374
0 1069 4931 6373
1986 1998 6163 6175
6777 8077 4257 5557
1867 2555 0 310
7820 8694 1713 2587
4617 5041 5719 6143
9059 9414 3368 3723
2306 3329 7502 8525
473 1651 4968 6146
5974 6395 1055 1476
9348 9738 9060 9450
2245 2427 3800 3982
1845 2086 4933 5174
1995 2596 157 758
1720 3340 937 2557
0 746 0 666
839 1584 2216 2961
6301 6992 7628 8319
3774 4633 3070 3929
553 953 2381 2781
8775 10000 5990 7614
2513 2708 2596 2791
5649 7244 6334 7929
4532 4725 4573 4766
8795 10000 1081 2625
4517 5658 9210 10000
2955 3174 7677 7896
6673 7195 6959 7481
5852 7263 3490 4901
1900 3540 8927 10000
7761 8432 8559 9230
4768 5736 4442 5410
3544 4275 4886 5617
3533 4317 9751 10000
8610 10000 1797 3349
5205 6878 3315 4988
5508 6692 5005 6189
2127 3473 4982 6328
5130 6474 6495 7839
718 1783 8702 9767
5031 5196 7682 7847
1607 2676 4985 6054
7572 7838 2831 3097
4567 5996 2163 3592
6863 8204 7776 9117
6977 7523 2348 2894
4743 5843 1536 2636
4274 4557 9898 10000
1873 2247 2797 3171
6544 6563 8801 8820
3219 4186 8593 9560
2368 3718 5204 6554
8639 8750 9193 9304
8759 10000 0 730
4571 4763 7256 7448
6222 7768 613 2159
4465 6110 8770 10000
7354 7573 7742 7961
7279 7637 3232 3590
457 907 8231 8681
214 1788 372 1946
2584 3282 9029 9727
6478 7499 8755 9776
5501 6098 6214 6811
855 2338 515 1998
223 932 1953 2662
3372 3440 8078 8146
3105 4022 6637 7554
1668 2726 1979 3037
5061 6084 7653 8676
581 1308 2670 3397
3131 3657 7548 8074
637 1001 7226 7590
5554 5623 2012 2081
5019 5739 7077 7797
6038 7210 9573 10000
5114 5312 3386 3584
0 1071 3894 5469
8551 8804 428 681
6272 7089 8427 9244
1088 2203 9215 10000
8722 9570 1797 2645
4661 4804 912 1055
6634 7147 6534 7047
1994 3194 5437 6637
13 454 626 1067
2833 4001 5275 6443
1834 2839 4922 5927
6705 6953 7643 7891
4447 4893 3893 4339
3008 3459 7774 8225
8535 9467 7152 8084
2597 3559 9060 10000
4121 4603 5296 5778
6202 7754 0 1281
3168 4362 3598 4792
0 374 0 76
8954 10000 1129 2636
0 603 5366 6640
9075 10000 10 1252
7869 9182 2110 3423
6176 6191 172 187
459 1315 3627 4483
7225 7648 6985 7408
5711 7320 4983 6592
1740 3197 0 1160
2312 2509 7539 7736
1297 2558 245 1506
4816 5829 6257 7270
239 1145 6535 7441
8011 9660 3029 4678
1666 2920 5689 6943
8872 9795 6774 7697
6503 7275 6376 7148
6928 8513 4776 6361
2167 3808 0 1634
2028 2680 289 941
4258 5591 5089 6422
2206 3344 5038 6176
7827 8991 8827 9991
8998 10000 2061 3564
9663 10000 3613 4274
833 2271 2335 3773
7398 8993 5666 7261
4172 4775 4464 5067
5165 6038 3244 4117
7840 7980 3785 3925
4146 5522 305 1681
193 382 2089 2278
3850 4983 0 1013
6065 7167 0 1027
5316 6651 2720 4055
7316 8154 6067 6905
4027 4210 3155 3338
1725 2421 8070 8766
658 1612 8765 9719
5997 7523 6972 8498
3835 4032 2274 2471
7647 7896 5411 5660
9071 10000 1870 3005
2985 4070 2148 3233
1862 3080 1893 3111
3273 3559 8634 8920
2492 4049 1632 3189
3512 5068 0 1243
3016 3412 2027 2423
3506 4181 8184 8859
4662 4751 5967 6056
6942 7681 7836 8575
9801 10000 6695 7041
312 1817 2560 4065
3931 5091 1300 2460
5095 5852 7671 8428
9519 9602 2253 2336
2490 2532 9571 9613
5494 5940 7895 8341
3733 4289 8923 9479
8476 9738 547 1809
123 1429 8050 9356
962 2276 6468 7782
7001 8196 8992 10000
8405 8788 7615 7998
0 888 0 1089
1265 1586 0 246
1607 2741 0 809
5745 5868 6508 6631
6285 6509 940 1164
2872 3966 164 1258
518 589 7021 7092
8768 10000 746 2090
5856 6755 1381 2280
6251 7157 4129 5035
7574 8758 3198 4382
2289 3527 2043 3281
6907 8508 3129 4730
0 205 2337 2556
1945 2080 7689 7824
4988 6667 7114 8793
5492 5523 9543 9574
800 1856 1721 2777
125 1458 3898 5231
5170 5330 1602 1762
7131 8035 4847 5751
5865 6495 5962 6592
4073 5512 1342 2781
2063 2649 4792 5378
8873 9193 3920 4240
6388 6829 2117 2558
8364 8799 8495 8930
7822 9348 2477 4003
6464 6703 732 971
209 1556 0 1219
9489 9632 7801 7944
1752 2448 5799 6495
306 766 6182 6642
6301 6954 7875 8528
0 169 8252 9220
4631 5114 9390 9873
5120 5764 8983 9627
7068 7925 5887 6744
5875 6174 3691 3990
8637 8651 4182 4196
1189 1654 6099 6564
1023 1270 6719 6966
510 1136 5827 6453
3615 4307 6105 6797
1203 1589 3048 3434
0 977 1214 2209
2572 2754 3802 3984
5558 6892 7975 9309
849 2434 4633 6218
3400 3473 2122 2195
1735 3316 4997 6578
1362 2330 2189 3157
9219 9278 2790 2849
9285 10000 4475 5309
8539 10000 7855 9462
7728 9301 2361 3934
5785 6338 6823 7376
1361 2307 4966 5912
6551 6671 5816 5936
8461 9900 7294 8733
3804 5282 6296 7774
8911 10000 190 1807
3956 5090 5677 6811
5084 5600 5636 6152
5029 6642 0 1130
3839 5333 7893 9387
8777 9298 8352 8873
6656 8344 8 1696
4169 5364 8797 9992
228 1406 8788 9966
2587 3442 6411 7266
7771 8413 6038 6680
6063 6854 4684 5475
2187 2630 6211 6654
4687 6068 820 2201
774 1216 5237 5679
3099 3159 9248 9308
799 2089 1630 2920
9217 10000 5789 7398
1984 3088 9767 10000
1448 1709 820 1081
9053 10000 3029 4365
4838 5311 77 550
8699 9832 8892 10000
1546 3059 975 2488
6036 6683 368 1015
8082 8727 1616 2261
5062 6187 829 1954
1677 2059 6966 7348
7765 7953 3710 3898
771 966 5776 5971
9388 9977 1892 2481
2584 2851 7756 8023
6528 7255 4539 5266
6246 7581 1045 2380
5290 5750 7163 7623
1212 1759 1947 2494
5772 7031 2414 3673
5744 6431 9895 10000
3891 3968 5244 5321
6539 7910 2566 3937
3378 4411 7372 8405
4374 5181 7461 8268
1862 2590 3983 4711
5050 6694
808 2711
9866 3981
1109 4123
4449 7395
291 604
2517 523
9906 2640
336 3634
379 1737
5851 5614
2911 9371
6385 8648
5616 4625
7285 1534
7084 61
5146 5294
4337 2858
9882 1996
5666 524
7655 8624
7756 5259
3021 708
775 8614
3512 7434
5134 5630
8099 2447
14 4889
8125 56
7111 938
4113 318
2429 2138
6056 8353
9943 2807
5989 536
2821 9306
4980 8237
6843 6713
4791 2276
8473 1930
6073 4228
9171 260
6473 4032
9652 6918
914 7383
8833 4473
9691 6391
7216 2188
6552 4590
9794 5447
5656 494
8376 8595
5570 1774
1344 7569
9730 1682
8718 6580
9437 6176
3534 8078
4319 5415
5895 5337
3133 8438
953 186
6073 2233
938 8729
8583 3691
709 4721
6745 65
3352 7331
9555 3689
4689 375
68 4620
4516 2710
5115 3913
6306 9489
8665 5719
6863 8498
9756 6929
6729 7244
5209 9343
6601 8068
5021 6756
7944 5646
1750 4355
5770 8055
6000 221
9763 8390
2636 7372
1591 7404
7601 3977
6947 6400
5957 6843
9993 3392
4524 2391
3008 6606
5114 8863
4194 5268
9797 7736
1257 5230
4173 9966
5382 6955
4184 1827
2192 3638
6606 729
6264 7475
5452 3312
4382 3293
1767 9400
5357 5567
3308 5744
3407 7198
4039 2929
7942 7286
607 1656
3894 7924
8112 289
2382 6431
5916 113
1658 9140
3740 815
9509 2496
3656 3656
9930 4593
7449 6223
4063 1076
8567 4513
2605 6958
7263 1108
8637 538
895 8827
6753 6010
4040 3071
6525 7119
4917 1065
1258 7242
8632 8243
7712 9655
835 5705
8236 5329
1930 8716
7987 8733
1384 257
2555 3844
7138 666
12 5376
964 3088
671 7222
8462 1436
2230 8515
3957 5325
8956 8212
4252 9399
9831 3463
59 1953
4380 1910
151 199
1982 2612
8663 988
3602 7669
2277 605
5457 841
7250 9815
3448 3435
985 7435
9928 8733
5727 4013
2139 3866
5535 1286
5775 162
4049 8949
919 4403
3650 8218
5593 3685
5991 7363
6886 5985
4187 5647
7027 5873
5960 678
962 5462
3619 7050
7012 4847
9675 2321
2052 4184
7568 1113
5508 3950
3888 4775
9827 6719
2383 6157
185 2069
6374 4473
2162 6420
3624 3494
8806 316
7179 2656
8375 5157
9833 4193
3766 5679
2356 6625
3233 2397
3066 8959
9662 4934
1684 6646
2738 9308
6634 7549
366 7908
9686 1588
5591 584
3867 2184
8644 521
9771 1261
2591 5198
1292 4463
4232 5342
8159 2482
4833 611
9630 570
33 1859
5082 3948
4228 7707
6424 6965
9310 6354
5702 8798
512 3071
665 9567
205 584
1018 8072
7489 4457
867 7565
7722 4930
7351 9678
8060 2126
3355 9065
5335 8558
3492 6310
8437 6947
7825 8049
161 2057
4629 5004
5010 6969
5236 2901
5541 2092
4944 2068
2200 2224
8045 2185
1829 7506
1004 9057
3089 3693
9860 4097
1461 377
3147 5486
1183 5590
8155 5629
6713 5855
1386 3059
9675 4650
2583 1802
2223 2232
8097 8412
4564 6992
4753 4523
5520 4859
503 7629
6810 8720
1865 7084
3313 8069
6726 3966
932 8474
1917 2193
2872 2914
285 1918
37 2549
9153 5908
5600 8257
5424 6840
3077 373
6952 9095
6628 9210
3906 1506
9478 3536
8189 2079
332 1905
6903 2318
1215 8785
3890 6339
2269 1127
3497 6087
9429 53
6424 969
1155 7390
7053 9940
4855 3586
1151 9803
9494 7997
9643 8941
9017 1584
1816 4353
4023 4742
4043 7220
4659 3602
93 4847
7982 3877
4898 7819
6404 3998
7749 205
8679 3342
2020 2493
5462 1794
4787 8555
6 5755
9251 4579
3933 2627
7157 1895
6101 6663
4943 9112
753 9569
7265 3700
6107 6784
77 9891
5187 3347
2596 9673
969 6855
4896 1483
1389 1550
2571 4317
7255 1811
8176 1945
4755 9059
9852 3925
6541 8089
5596 7563
8949 23
8784 9694
6422 3195
5221 7140
1674 4325
9908 756
7784 1306
7817 1095
8380 4450
7718 7252
1227 2133
5116 8669
3939 6680
9520 9194
3763 2393
6657 3071
5609 6100
3104 5754
9500 616
1725 5081
3950 5767
168 6355
4402 3702
7100 7706
9885 4699
4315 1268
4825 9712
9726 8551
7488 4409
262 4101
8362 6067
7293 186
5827 4576
3922 533
3300 7137
5296 8780
1360 2653
5418 3375
3614 9418
39 6108
7752 4220
5878 8047
2937 8242
1441 4977
7160 6358
6111 7508
2963 4791
4389 6823
1564 8906
4456 5513
2005 5248
6319 5867
6571 2863
5005 3178
5789 286
4619 2436
1506 2147
1367 4484
9089 3988
183 8670
6488 8750
5829 4250
3621 2539
6493 2512
6121 6016
5575 1750
2431 7841
7581 163
6028 4595
2156 8027
6965 2973
9079 6881
8839 1419
5892 7114
8830 4355
9829 9888
1518 3813
8673 7199
729 2359
614 3025
2988 2601
4043 9514
9269 6037
4433 9737
558 2211
3351 3188
4419 7011
1577 4347
1974 5880
7305 6527
8502 6004
4062 1518
9656 5762
6888 4801
4978 5900
3335 5239
1775 7517
5052 6302
5687 8934
2005 7619
8661 4380
2113 3781
9467 6767
2302 1735
5536 7665
2147 5375
2623 7246
3574 7212
6343 6771
1147 3240
433 9482
1291 6052
5024 2802
3186 4274
907 7904
8881 6052
1966 883
2298 9885
9778 2561
2811 6575
3674 4642
5144 869
2341 1855
2712 7226
2009 4963
9858 1046
2833 9594
442 8872
7200 2356
7811 1401
3499 4782
7549 6336
9251 5593
1576 4465
421 1854
237 1315
3659 192
2408 1586
8249 5894
4517 3342
3120 25
780 9700
7675 3204
8654 2460
8006 1214
2568 5425
58 7125
1707 3104
3963 1532
7619 4374
3124 8947
4261 1821
2085 4784
5623 5116
316 2240
9069 9281
4538 8582
3958 6063
9128 9656
526 9907
5874 5077
3027 7849
3003 6946
7047 6229
1620 9949
8876 5233
9401 634
7817 9741
4736 465
5022 5102
1828 9650
8733 3646
8380 6739
2923 1261
5011 1905
4079 7783
3192 7361
6623 9783
3725 5469
159 5958
4924 5288
8388 8082
5556 2193
7551 9635
4046 7673
1837 619
8719 471
982 2173
8691 1046
6319 8432
909 7299
477 765
7310 162
3238 8905
8419 742
64 7602
3818 7854
6713 2024
4303 5095
2898 1089
8016 3554
6423 6676
8282 9384
5059 1942
4452 7050
951 6123
1989 6164
8029 5335
1963 101
8319 2581
4659 5719
9359 3596
3000 7762
1012 5991
6088 1244
9440 9074
2294 3859
1955 5077
2134 359
2219 1291
7 149
1154 2918
6413 7819
3795 3906
645 2615
9627 6986
2553 2679
7241 6637
4654 4732
9823 1889
4665 9248
3054 7860
6919 7300
6909 3656
2521 9977
7975 9125
4832 5033
3767 4933
3542 9814
8618 2359
6656 4156
5949 6139
2784 5454
5935 7372
1060 8977
5099 7737
1792 5642
7795 2967
4939 3487
7932 8552
7317 2645
5741 1912
4293 9928
2049 3139
6563 8815
3655 9339
2504 5499
8700 9241
9174 621
4615 7384
6732 750
4635 9989
7421 7953
7510 3387
803 8474
999 1612
2910 9703
6761 9667
5780 6494
1220 1061
738 2079
3430 8080
3216 6962
2651 2536
5885 7854
1018 2902
3289 7624
778 7566
5554 2064
5046 7743
6711 9741
5208 3403
804 5398
8558 433
6773 9054
1903 9477
8916 1873
4718 1040
6700 6606
2680 5580
203 1059
3502 5566
2761 5160
6941 7751
4596 4128
3310 8195
9076 7814
2702 9092
4514 5772
7612 649
3517 4333
373 68
9337 1607
387 6237
9890 1230
8336 2545
6184 172
798 3813
7449 7200
6433 5850
2397 1140
2381 7624
2496 1202
4836 6880
353 6961
9376 3565
2178 5986
9547 7416
6876 6738
8221 6083
3268 1192
2264 834
4473 6307
2318 6009
8154 8952
9798 2255
9921 3831
838 2651
7937 6136
4355 4799
5180 3898
7849 3844
5460 691
338 2089
4011 459
6556 817
6102 3184
7451 6729
4146 3253
1865 8631
909 9541
7314 8051
3929 2276
7850 5621
9896 2177
3305 2288
2720 2000
3402 8890
2865 2771
5040 577
3389 2326
3669 8758
4680 6026
7150 8152
9924 6921
794 3023
4615 1536
5234 7880
9535 2280
2526 9573
5560 8044
4239 9165
8677 1695
988 8164
1589 6733
8073 9674
8704 7864
839 149
1495 88
2534 186
5760 6626
6508 1048
3573 967
547 7032
8791 1682
6151 2238
6377 4458
8262 4129
3012 3105
8340 3422
119 2404
1980 7775
6350 8082
5501 9544
814 2044
907 4964
5326 1698
7836 5727
6397 6323
4601 2691
2246 5308
9000 4140
6799 2438
8462 8735
8742 3495
6580 805
1234 182
9588 7851
2434 6359
615 6278
6575 8449
4 9136
4739 9739
5410 9114
7510 6395
6053 3697
8651 4183
1224 6551
1115 6880
935 6351
3707 6698
1318 3390
597 1616
2698 3836
5758 8160
2049 5411
3450 2152
2260 6102
1636 2855
9244 2796
9901 4948
9776 8095
9172 3709
6157 6950
2011 5656
6574 5896
9081 8632
3950 7271
9156 780
4333 5768
5095 5750
5395 797
3968 9022
8815 8478
7861 1695
5077 9598
985 9126
2861 6676
7957 6670
6320 5329
2552 6459
5421 963
1104 5346
3149 9292
1229 1722
9598 6509
2503 9876
1650 826
9591 3406
5194 389
9107 9624
2767 2352
6061 389
8132 2021
5635 1380
1939 7286
7869 3733
862 5870
9956 1918
2602 7968
6876 4933
6948 1397
5521 7297
1692 2137
6906 3667
5791 9981
3946 5250
7790 2646
3818 7630
4972 8218
1916 4337
